1#Gezond & verzorging#[{'name': 'De Vergulde Hand Scheerschuim Megabus 300 ml', 'price': '2,49', 'discount': '3 voor 7', 'smallimage': '', 'bigimage': '', 'id': '1378'}, {'name': 'Gillette Normale Huid Scheerschuim 300 ml', 'price': '1,49', 'discount': '3 voor 4', 'smallimage': '', 'bigimage': '', 'id': '1379'}, {'name': 'Gillette Scheerschuim Gevoelige Huid 300 ml', 'price': '1,49', 'discount': '3 voor 4', 'smallimage': '', 'bigimage': '', 'id': '1380'}, {'name': 'Taft Chaos Gelee Extra Fixing 200 ml', 'price': '3,99', 'discount': '3 voor 10', 'smallimage': '', 'bigimage': '', 'id': '1453'}]
1#Baby & kind#[{'name': 'Zwitsal Shampoo Anti-Prik Formule 700 ml', 'price': '5,99', 'discount': '3 voor 15', 'smallimage': '', 'bigimage': '', 'id': '16543'}, {'name': 'Zwitsal Zachte Crème Droog Huidje 100 ml', 'price': '1,79', 'discount': '3 voor 5', 'smallimage': '', 'bigimage': '', 'id': '16619'}, {'name': 'Zwitsal Baby Boys 2 in 1 Shampoo & Douche Gel 400 ml', 'price': '3,99', 'discount': '3 voor 10', 'smallimage': '', 'bigimage': '', 'id': '20340'}, {'name': 'Zwitsal Baby Snoetenpoetsers Hypoallergeen 40 St', 'price': '1,95', 'smallimage': '', 'bigimage': '', 'id': '24028'}]
1#Huishouden#[{'name': 'Airwick Freshmatic Lavendel Navul. 250ml', 'price': '2,99', 'discount': '3 voor 8', 'smallimage': '', 'bigimage': '', 'id': '17043'}, {'name': 'Ambi Pur 3Volution Lavendel Navulling 20 ml', 'price': '4,99', 'discount': '3 voor 12', 'smallimage': '', 'bigimage': '', 'id': '17078'}, {'name': 'Neutral Vloeibaar Kleur Parfumvrij Wasmiddel 1425 ml', 'price': '5,49', 'discount': '3 voor 14', 'smallimage': '', 'bigimage': '', 'id': '1714'}, {'name': 'Neutral Wasmiddel Vloeibaar 3000 ml', 'price': '10,98', 'smallimage': '', 'bigimage': '', 'id': '20559'}]
1#Wonen & vrije tijd#[{'name': 'At Home Papaya Mango Geurkaars', 'price': '1,29', 'discount': '3 voor 3', 'smallimage': '', 'bigimage': '', 'id': '23287'}, {'name': 'Bolsius Colourful Cups Kaarsen Roze 4 st', 'price': '0,99', 'discount': '3 voor 2,50', 'smallimage': '', 'bigimage': '', 'id': '26801'}, {'name': 'KFS-B-Candles Wit Stompkaars 29 Uren', 'price': '1,29', 'discount': '3 voor 3', 'smallimage': '', 'bigimage': '', 'id': '31779'}, {'name': 'Prokennex Tennisballen Koker 4 st', 'price': '5,99', 'discount': '3 voor 15', 'smallimage': '', 'bigimage': '', 'id': '32506'}]
1#Make-up & geuren#[{'name': 'Guess Woman Eau De Toilette Seductive 75 ml', 'price': '16,98', 'smallimage': '', 'bigimage': '', 'id': '27315'}, {'name': 'Playboy Woman Eau De Toilette Play It Sexy 50 ml', 'price': '7,99', 'discount': '3 voor 20', 'smallimage': '', 'bigimage': '', 'id': '27351'}, {'name': 'Playboy Woman Eau De Toilette Play It Lovely 50 ml', 'price': '6,98', 'smallimage': '', 'bigimage': '', 'id': '27353'}, {'name': 'Maybelline Mascara Volume Express Big Eyes Black 10 ml', 'price': '4,98', 'smallimage': '', 'bigimage': '', 'id': '27640'}]
1#Elektronica & media#[{'name': 'Duracell Batterijen AA LR6 MN1500 4 Pack', 'price': '2,49', 'discount': '3 voor 7', 'smallimage': '', 'bigimage': '', 'id': '1904'}, {'name': 'Agfaphoto Alkaline Power Batterijen AA 4 st', 'price': '1,29', 'discount': '3 voor 3', 'smallimage': '', 'bigimage': '', 'id': '22309'}, {'name': 'Philips Power Alkaline 9V Batterijen 4 st', 'price': '3,99', 'discount': '3 voor 10', 'smallimage': '', 'bigimage': '', 'id': '30459'}, {'name': 'Soundlogic HD Wireless Headphone', 'price': '19,98', 'smallimage': '', 'bigimage': '', 'id': '34363'}]
1#Eten & drinken#[{'name': 'KitKat 3 x 41,5 gr', 'price': '1,25', 'smallimage': '', 'bigimage': '', 'id': '16596'}, {'name': 'Nestle Lion Pop Choc 140 g', 'price': '1,25', 'smallimage': '', 'bigimage': '', 'id': '3055'}, {'name': 'Oreo Original 4 x 4-pack 176 gr', 'price': '1,49', 'discount': '3 voor 4', 'smallimage': '', 'bigimage': '', 'id': '32173'}, {'name': 'Disney Minikoekjes Uitdeelzakjes Finding Dory 240 gr', 'price': '1,79', 'discount': '3 voor 5', 'smallimage': '', 'bigimage': '', 'id': '34076'}]
