1313#1#1313
1319#1#1319
1347#1#1347
1378#1#1378
1379#1#1379
1242#2#1242
1305#2#1305
1313#2#1313
1314#2#1314
1319#2#1319
1347#2#1347
04167#3#04167
04194#3#04194
04356#3#04356
04357#3#04357
1034#3#1034
1305#3#1305
1307#3#1307
1313#3#1313
1314#3#1314
1319#3#1319
1328#3#1328
1330#3#1330
1331#3#1331
1335#3#1335
1347#3#1347
